Hours_Awake,Decisions_Made,Task_Switches,Avg_Decision_Time_sec,Sleep_Hours_Last_Night,Time_of_Day,Caffeine_Intake_Cups,Stress_Level_1_10,Error_Rate,Cognitive_Load_Score,Fatigue_Level
0.375,0.23931623931623935,0.14583333333333331,0.28571428571428564,0.5428571428571428,0.3333333333333333,0.0,0.18181818181818185,0.0,0.21978021978021978,0.0
0.875,0.6581196581196582,0.4583333333333333,0.49999999999999994,0.3571428571428571,0.0,0.5,0.1168831168831169,0.3983286908077994,0.4285714285714286,2.0
0.625,0.4871794871794872,0.47916666666666663,0.5031746031746032,0.6857142857142856,1.0,0.3333333333333333,0.14285714285714288,0.0,0.3846153846153846,1.0
0.4375,0.33333333333333337,0.20833333333333331,0.3,0.4714285714285714,0.0,0.16666666666666666,0.0,0.0,0.18681318681318682,0.0
0.375,0.3931623931623932,0.3333333333333333,0.4047619047619047,0.8857142857142856,1.0,0.16666666666666666,0.23376623376623376,0.0,0.3626373626373626,0.0
0.625,0.36752136752136755,0.35416666666666663,0.4031746031746032,0.7428571428571428,0.0,0.16666666666666666,0.2727272727272728,0.0,0.37362637362637363,1.0
0.625,0.4871794871794872,0.3958333333333333,0.6047619047619046,0.6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2967032967032967,1.0
0.1875,0.15384615384615385,0.0625,0.1952380952380952,0.6857142857142856,0.0,0.16666666666666666,0.05194805194805194,0.0,0.0989010989010989,0.0
0.4375,0.2991452991452992,0.16666666666666666,0.046031746031746035,0.5714285714285714,1.0,0.3333333333333333,0.4285714285714286,0.0,0.37362637362637363,0.0
0.125,0.07692307692307693,0.041666666666666664,0.09682539682539684,0.8571428571428571,1.0,0.3333333333333333,0.22077922077922082,0.0,0.15384615384615385,0.0
0.0625,0.11965811965811968,0.08333333333333333,0.30476190476190473,0.6285714285714286,0.0,0.3333333333333333,0.0,0.0,0.06593406593406594,0.0
0.6875,0.4871794871794872,0.41666666666666663,0.519047619047619,0.6857142857142856,1.0,0.0,0.07792207792207795,0.0,0.34065934065934067,1.0
0.3125,0.3247863247863248,0.16666666666666666,0.3777777777777777,0.7857142857142857,0.0,0.16666666666666666,0.06493506493506493,0.0,0.19780219780219782,0.0
0.0625,0.11965811965811968,0.08333333333333333,0.12698412698412698,0.5428571428571428,0.3333333333333333,0.3333333333333333,0.0,0.0,0.06593406593406594,0.0
0.0,0.03418803418803419,0.020833333333333332,0.18095238095238092,0.8142857142857142,0.3333333333333333,0.0,0.0,0.0,0.021978021978021983,0.0
0.6875,0.45299145299145305,0.3958333333333333,0.42698412698412697,0.7285714285714285,0.6666666666666666,0.16666666666666666,0.0,0.0,0.27472527472527475,1.0
0.6875,0.5897435897435898,0.4375,0.1825396825396825,0.6714285714285714,0.3333333333333333,0.16666666666666666,0.3246753246753247,0.0,0.5054945054945055,2.0
1.0,0.8547008547008548,0.5833333333333333,0.5777777777777777,0.5714285714285714,0.6666666666666666,0.8333333333333333,0.24675324675324675,0.42896935933147634,0.6153846153846154,2.0
0.5625,0.4102564102564103,0.3125,0.28888888888888886,0.4428571428571427,0.3333333333333333,0.16666666666666666,0.1688311688311688,0.0,0.32967032967032966,1.0
0.9375,0.6324786324786326,0.47916666666666663,0.5476190476190477,0.5142857142857142,1.0,0.5,0.1168831168831169,0.2757660167130919,0.4285714285714286,2.0
0.875,0.6324786324786326,0.5,0.42857142857142855,0.6428571428571428,0.6666666666666666,0.5,0.3246753246753247,0.11977715877437325,0.5384615384615384,2.0
0.875,0.7606837606837608,0.4583333333333333,0.534920634920635,0.6,0.0,0.0,0.012987012987012991,0.2367688022284123,0.4285714285714286,2.0
0.6875,0.4957264957264958,0.25,0.5523809523809524,0.3857142857142857,0.6666666666666666,0.16666666666666666,0.5714285714285715,0.10306406685236769,0.5494505494505494,2.0
0.125,0.12820512820512822,0.08333333333333333,0.292063492063492,0.6714285714285714,1.0,0.5,0.0,0.0,0.06593406593406594,0.0
0.25,0.20512820512820515,0.22916666666666666,0.31904761904761897,0.41428571428571437,0.0,0.5,0.0,0.0,0.14285714285714285,0.0
0.375,0.2136752136752137,0.14583333333333331,0.30158730158730157,0.5,1.0,0.0,0.0,0.0,0.12087912087912088,0.0
